AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
0,0,1.62e-09,5.38e-12,41621.0,Data
0,0,1.62e-09,5.38e-12,41628.00620005261,Theory
1,0,1.62e-09,5.38e-12,1506.0,Data
1,0,1.62e-09,5.38e-12,1483.1389816864712,Theory
2,0,1.62e-09,5.38e-12,311.0,Data
2,0,1.62e-09,5.38e-12,355.6736904913118,Theory
3,0,1.62e-09,5.38e-12,204.0,Data
3,0,1.62e-09,5.38e-12,172.03178866863465,Theory
4,0,1.62e-09,5.38e-12,102.0,Data
4,0,1.62e-09,5.38e-12,104.32621875186615,Theory
5,0,1.62e-09,5.38e-12,70.0,Data
5,0,1.62e-09,5.38e-12,72.03230527798763,Theory
6,0,1.62e-09,5.38e-12,53.0,Data
6,0,1.62e-09,5.38e-12,52.57163375318897,Theory
7,0,1.62e-09,5.38e-12,38.0,Data
7,0,1.62e-09,5.38e-12,40.777113836232964,Theory
8,0,1.62e-09,5.38e-12,32.0,Data
8,0,1.62e-09,5.38e-12,33.02508697579024,Theory
9,0,1.62e-09,5.38e-12,34.0,Data
9,0,1.62e-09,5.38e-12,27.115148716172776,Theory
10,0,1.62e-09,5.38e-12,22.0,Data
10,0,1.62e-09,5.38e-12,22.74070984283284,Theory
11,0,1.62e-09,5.38e-12,28.0,Data
11,0,1.62e-09,5.38e-12,19.16111983368519,Theory
12,0,1.62e-09,5.38e-12,13.0,Data
12,0,1.62e-09,5.38e-12,16.34148262638341,Theory
13,0,1.62e-09,5.38e-12,11.0,Data
13,0,1.62e-09,5.38e-12,14.582206324216804,Theory
14,0,1.62e-09,5.38e-12,10.0,Data
14,0,1.62e-09,5.38e-12,12.770277764396551,Theory
15,0,1.62e-09,5.38e-12,8.0,Data
15,0,1.62e-09,5.38e-12,11.361521986152837,Theory
16,0,1.62e-09,5.38e-12,9.0,Data
16,0,1.62e-09,5.38e-12,10.240196091766393,Theory
17,0,1.62e-09,5.38e-12,6.0,Data
17,0,1.62e-09,5.38e-12,9.053763754581679,Theory
18,0,1.62e-09,5.38e-12,9.0,Data
18,0,1.62e-09,5.38e-12,8.417350256210076,Theory
19,0,1.62e-09,5.38e-12,12.0,Data
19,0,1.62e-09,5.38e-12,7.6033515917662875,Theory
20,0,1.62e-09,5.38e-12,6.0,Data
20,0,1.62e-09,5.38e-12,6.968321443621631,Theory
21,0,1.62e-09,5.38e-12,7.0,Data
21,0,1.62e-09,5.38e-12,6.3812145426446,Theory
22,0,1.62e-09,5.38e-12,4.0,Data
22,0,1.62e-09,5.38e-12,5.863419336532296,Theory
23,0,1.62e-09,5.38e-12,9.0,Data
23,0,1.62e-09,5.38e-12,5.4829955818141185,Theory
24,0,1.62e-09,5.38e-12,7.0,Data
24,0,1.62e-09,5.38e-12,5.072366571891829,Theory
25,0,1.62e-09,5.38e-12,3.0,Data
25,0,1.62e-09,5.38e-12,4.672731071245558,Theory
26,0,1.62e-09,5.38e-12,2.0,Data
26,0,1.62e-09,5.38e-12,4.353490048484803,Theory
27,0,1.62e-09,5.38e-12,3.0,Data
27,0,1.62e-09,5.38e-12,4.089246249709494,Theory
28,0,1.62e-09,5.38e-12,5.0,Data
28,0,1.62e-09,5.38e-12,3.91438377637325,Theory
29,0,1.62e-09,5.38e-12,2.0,Data
29,0,1.62e-09,5.38e-12,3.565731128015596,Theory
30,0,1.62e-09,5.38e-12,3.0,Data
30,0,1.62e-09,5.38e-12,3.2558696337073076,Theory
31,0,1.62e-09,5.38e-12,1.0,Data
31,0,1.62e-09,5.38e-12,3.172962570513046,Theory
32,0,1.62e-09,5.38e-12,2.0,Data
32,0,1.62e-09,5.38e-12,3.081091038586678,Theory
33,0,1.62e-09,5.38e-12,5.0,Data
33,0,1.62e-09,5.38e-12,2.8997108860059013,Theory
34,0,1.62e-09,5.38e-12,4.0,Data
34,0,1.62e-09,5.38e-12,2.754996713055218,Theory
35,0,1.62e-09,5.38e-12,2.0,Data
35,0,1.62e-09,5.38e-12,2.4353202753142735,Theory
36,0,1.62e-09,5.38e-12,2.0,Data
36,0,1.62e-09,5.38e-12,2.5162855931370505,Theory
37,0,1.62e-09,5.38e-12,3.0,Data
37,0,1.62e-09,5.38e-12,2.41913406053963,Theory
38,0,1.62e-09,5.38e-12,1.0,Data
38,0,1.62e-09,5.38e-12,2.2234290422887963,Theory
