Unique mutation,Unq muts sites
0,15279236.575948205
1,2397261.4745960487
2,339138.76230400713
3,94924.07845860328
4,66177.15784523917
5,54263.71887005133
6,41230.45744000918
7,28589.362754273705
8,18308.009481053217
9,10967.638425357709
10,6214.641782626728
11,3362.04558003005
12,1750.5799786663435
13,883.6661817211318
14,435.3323176794431
15,210.62744159669757
16,100.68312460572011
17,47.812159867454255
18,22.66537639778222
19,10.767753930833893
20,5.140539168685463
21,2.4696785672545842
22,1.1943287315150475
23,0.5809585403303624
24,0.2838700641693622
25,0.13910403430056925
26,0.06824872942240225
27,0.03347713709080362
28,0.016397586052975973
29,0.008012968484063297
30,0.003904000602876657
31,0.0018956139772943225
32,0.0009170931810196152
33,0.00044203848950595466
34,0.00021227144129849627
35,0.00010156352148812998
36,4.8422290784657046e-05
37,2.3007501217487458e-05
38,1.0896013505981173e-05
39,5.143936576115395e-06
40,2.4210552302246382e-06
41,1.1361622786584379e-06
42,5.316693442992795e-07
43,2.4810816381053707e-07
44,1.1546897846445637e-07
45,5.359643002363875e-08
46,2.4812455889511504e-08
47,1.1457255945955903e-08
48,5.276907640742357e-09
49,2.424240171142528e-09
50,1.1109058122260166e-09
51,5.07799130307175e-10
52,2.315407463598829e-10
53,1.0531534210134975e-10
54,4.778517287872844e-11
55,2.1629242846649813e-11
56,9.766665304496817e-12
57,4.3996611354952915e-12
58,1.9772978182122545e-12
59,8.865796152999815e-13
60,3.9661564693198735e-13
61,1.7702832340327976e-13
62,7.884087972987594e-14
63,3.503575375598055e-14
64,1.553598169907285e-14
65,6.8746317262465295e-15
66,3.0357093920583798e-15
67,1.3377891091187062e-15
68,5.883674046898566e-16
69,2.5826160949346116e-16
70,1.1314573461084442e-16
71,4.947665321461864e-17
72,2.159547842904882e-17
73,9.408971900788134e-18
74,4.092178762409869e-18
75,1.776708415405442e-18
76,7.700921353134432e-19
77,3.3323436104767015e-19
78,1.4396362482867532e-19
79,6.20964500906661e-20
80,2.6742784153022357e-20
81,1.1499710250040881e-20
82,4.937668679575309e-21
83,2.117024327186325e-21
84,9.063844673858548e-22
85,3.8752111856890103e-22
86,1.6545808666882697e-22
87,7.055105232172006e-23
88,3.0043798373731234e-23
89,1.2777762288987496e-23
90,5.427701972978914e-24
91,2.302771470592551e-24
92,9.75824305212187e-25
93,4.130384817981561e-25
94,1.746302698538647e-25
95,7.375145403694455e-26
96,3.111397818964651e-26
97,1.311252006380055e-26
98,5.520446145534977e-27
99,2.3218345443183846e-27
100,9.755939885917322e-28
101,4.095429023163046e-28
102,1.7176467204357987e-28
103,7.197541848970242e-29
104,3.013438254804963e-29
105,1.2606080143292197e-29
106,5.269258902745445e-30
107,2.200811761830326e-30
108,9.18528185383669e-31
109,3.8308119648321542e-31
110,1.5965800038246043e-31
111,6.649745459112282e-32
112,2.767878934341515e-32
113,1.1514111498050174e-32
114,4.7870603013680776e-33
115,1.9891919451996112e-33
116,8.261680200923116e-34
117,3.429722040821133e-34
118,1.4231926952801147e-34
119,5.903350199483023e-35
120,2.447821438256447e-35
121,1.0146681664023594e-35
122,4.204832692639614e-36
123,1.7420939504924336e-36
124,7.216238890001909e-37
125,2.9887221979955202e-37
126,1.2376985720121645e-37
127,5.12529455206761e-38
128,2.122353852940413e-38
129,8.788863380060975e-39
130,3.639862661672023e-39
131,1.5076360070602136e-39
132,6.24582032085515e-40
133,2.5881328625630206e-40
134,1.0727799561529892e-40
135,4.448205711162851e-41
136,1.8451533683897876e-41
137,7.657319720867252e-42
138,3.179369802376509e-42
139,1.3208343065356631e-42
140,5.490620785741035e-43
141,2.2839296870186167e-43
142,9.50722940034997e-44
143,3.960557002348878e-44
144,1.651238674506731e-44
145,6.890233888153091e-45
146,2.8777078693703705e-45
147,1.2029979599508377e-45
148,5.033892404612846e-46
149,2.108519814957703e-46
150,8.840938873943573e-47
151,3.7108766089295803e-47
152,1.5592678589858292e-47
153,6.559002736895146e-48
154,2.7620570104685287e-48
155,1.1644159414659236e-48
156,4.914341518417064e-49
157,2.0763632007534207e-49
158,8.782524471538354e-50
159,3.718852433309073e-50
160,1.576397849136892e-50
161,6.689323800893168e-51
162,2.841507526523098e-51
163,1.2082449023019991e-51
164,5.142672311680421e-52
