Unique mutation,Unq muts sites
0,15293206.989790944
1,2395410.844692982
2,328824.58384167525
3,97878.33559421888
4,72757.8151532984
5,58566.50241928851
6,41709.579030697736
7,26205.60205889221
8,14754.877219838649
9,7561.796174518371
10,3578.4767554304603
11,1585.1317150645586
12,665.9942934778636
13,268.81984455606033
14,105.4643005167415
15,40.59717453805549
16,15.425671799641153
17,5.797629285627133
18,2.152359031969665
19,0.7864833028928581
20,0.2816452028639601
21,0.09845094374522775
22,0.033487543398787296
23,0.011060189159465902
24,0.003542502342551946
25,0.001099710090910743
26,0.0003308529705700911
27,9.649292335126804e-05
28,2.7294066381999893e-05
29,7.4923581153741025e-06
30,1.997294557865624e-06
31,5.174260997994791e-07
32,1.3036135873415788e-07
33,3.196324606536315e-08
34,7.632250734698452e-09
35,1.7759928726980807e-09
36,4.0298727220453204e-10
37,8.922053664056448e-11
38,1.9284609772335018e-11
39,4.07161012568023e-12
40,8.401480497799095e-13
41,1.6950934756604673e-13
42,3.3456703360204647e-14
43,6.462760828339165e-15
44,1.2223153152321525e-15
45,2.2644102724502246e-16
46,4.110573735227015e-17
47,7.314537960222344e-18
48,1.2763317831633238e-18
49,2.184648332163876e-19
50,3.66930811523936e-20
51,6.049364254980747e-21
52,9.79245509431936e-22
53,1.5568925120051367e-22
54,2.4318431029640565e-23
55,3.7328721807336394e-24
56,5.632463835611856e-25
57,8.356319600320672e-26
58,1.2192797171140146e-26
59,1.750131084146686e-27
60,2.4718438714384997e-28
61,3.43602436870214e-29
62,4.701917721492981e-30
63,6.335395172659702e-31
64,8.407098846081646e-32
65,1.0989650609099819e-32
66,1.4153901981163181e-33
67,1.7964294461361872e-34
68,2.2473507573379446e-35
69,2.7716685160635174e-36
70,3.37056357914181e-37
71,4.0423485747499383e-38
72,4.78203085195653e-39
73,5.581025113326941e-40
74,6.427061781831936e-41
75,7.304325477115352e-42
76,8.193841264127716e-43
77,9.074105970277827e-44
78,9.921939824045239e-45
79,1.0713512300944634e-45
80,1.1425477802984232e-46
81,1.2036143831584696e-47
82,1.2526588281005442e-48
83,1.2881644239726624e-49
84,1.3090680195268097e-50
85,1.314811984178904e-51
86,1.3053667057484854e-52
87,1.2812225768420166e-53
88,1.2433528814444732e-54
89,1.1931512118483252e-55
90,1.1323488336941845e-56
91,1.0629186235778175e-57
92,9.869727527891144e-59
93,9.066611820705249e-60
94,8.240773353477908e-61
95,7.411761593619156e-62
96,6.59708309887635e-63
97,5.81172605168263e-64
98,5.067873166096991e-65
99,4.3747946380363204e-66
100,3.738901471005609e-67
101,3.1639314568743676e-68
102,2.6512355023252517e-69
103,2.2001306791289673e-70
104,1.8082878725166517e-71
105,1.4721255587489112e-72
106,1.1871863345233639e-73
107,9.4847863283817e-75
108,7.50771960081455e-76
109,5.888394729514523e-77
110,4.576464267150694e-78
111,3.5248676414354577e-79
112,2.6907280802734025e-80
113,2.035847092633237e-81
114,1.526871047918138e-82
115,1.1352051960684765e-83
116,8.367458805272785e-85
117,6.1149351711670835e-86
118,4.4309875257139645e-87
119,3.1838339970180337e-88
120,2.268672696106111e-89
121,1.6032256253285527e-90
122,1.1236942959701996e-91
123,7.811983640793853e-93
124,5.387192891631063e-94
125,3.6853587218810166e-95
126,2.5011549734116724e-96
127,1.6841166024576376e-97
128,1.1251259597580729e-98
129,7.458540807633891e-100
130,4.9063241679055705e-101
131,3.2028291329191945e-102
132,2.0749689398084806e-103
133,1.3341802085447264e-104
134,8.514651007892276e-106
135,5.393773665433232e-107
136,3.3916871669685035e-108
137,2.1171879541085986e-109
138,1.3120386119658788e-110
139,8.072351878367349e-112
140,4.931081623221308e-113
141,2.990852481369886e-114
142,1.8012758986691016e-115
143,1.0772571259208555e-116
144,6.397842695797794e-118
145,3.7734938674001673e-119
146,2.2103967211766245e-120
147,1.2859781739458695e-121
148,7.431111682963644e-123
149,4.265309627758512e-124
150,2.431887176745505e-125
151,1.3773731484175095e-126
152,7.749864773487022e-128
153,4.332012548362558e-129
154,2.405785263563916e-130
155,1.3274368030152574e-131
156,7.277441468864213e-133
157,3.9643251345082677e-134
158,2.1458683243315082e-135
159,1.1542436413393844e-136
160,6.169779951456185e-138
161,3.2774536129672425e-139
162,1.730273874627705e-140
163,9.07864604392113e-142
164,4.734472228011538e-143
165,2.454044528419266e-144
166,1.264356680261215e-145
167,6.475134840544335e-147
168,3.2963674457805345e-148
169,1.6681894609002005e-149
170,8.392537155941506e-151
171,4.197534977677078e-152
172,2.087196610842446e-153
173,1.0318463856502791e-154
174,5.071820535171259e-156
175,2.478701227527436e-157
176,1.204509213347004e-158
177,5.82017064186573e-160
178,2.7964998889032905e-161
179,1.336168061819288e-162
180,6.348748184488894e-164
181,2.9999170383943397e-165
182,1.4097359075393455e-166
183,6.588503102347897e-168
184,3.062451239048193e-169
185,1.4157868168618418e-170
186,6.51006733565242e-172
187,2.9774506896689888e-173
188,1.3545266917255887e-174
189,6.129523726730015e-176
190,2.75914305482759e-177
191,1.2354980224457758e-178
192,5.503540142732177e-180
193,2.4388564880265327e-181
194,1.0751920121346407e-182
195,4.715774440540172e-184
196,2.0577786028698052e-185
197,8.933758291655473e-187
198,3.8589652167154576e-188
199,1.658516201429722e-189
200,7.092375552428419e-191
201,3.017850593652678e-192
202,1.277757672931677e-193
203,5.383375227323171e-195
204,2.2569749206502987e-196
205,9.416189177013386e-198
206,3.909401802786219e-199
207,1.6152597306269645e-200
208,6.6417340193920185e-202
209,2.7179263575396473e-203
210,1.1069319520480922e-204
211,4.486844728276037e-206
212,1.8101217585532614e-207
213,7.268266278131625e-209
214,2.904823395166847e-210
215,1.1555373368741281e-211
216,4.5754411122543784e-213
217,1.8033333037343262e-214
218,7.074932542503961e-216
219,2.7630007801358216e-217
220,1.074140692927372e-218
221,4.156920912551464e-220
222,1.6014805733819085e-221
223,6.1421401186476804e-223
224,2.345171612146016e-224
225,8.914460314385046e-226
226,3.3735688634925297e-227
227,1.2710619026711314e-228
228,4.767984664279934e-230
229,1.7807476394284645e-231
230,6.621822956103454e-233
231,2.451707311785714e-234
232,9.038236205809723e-236
233,3.317651985768838e-237
234,1.2126013377483738e-238
235,4.4131964921643047e-240
236,1.599353094768176e-241
237,5.771638375214243e-243
238,2.074078873007367e-244
239,7.42216300053613e-246
240,2.644979895477521e-247
241,9.386603424297442e-249
242,3.317387837051559e-250
243,1.1675974173268235e-251
244,4.0926674475237555e-253
245,1.4287081985632726e-254
246,4.967199462203105e-256
247,1.719957921818479e-257
248,5.931565387468332e-259
249,2.0373852661977236e-260
250,6.970057216548723e-262
251,2.3750120474638414e-263
252,8.060620518350291e-265
253,2.724903696974353e-266
254,9.175307941427658e-268
255,3.0773980878141645e-269
256,1.028127389093037e-270
257,3.4215037733643974e-272
258,1.13422845438545e-273
259,3.7454499497554324e-275
260,1.232065726707954e-276
261,4.0373518435910874e-278
262,1.3179488000321103e-279
263,4.285939385310439e-281
264,1.3884982418276212e-282
265,4.4812863801415134e-284
266,1.4408683527632663e-285
267,4.6154737327073676e-287
268,1.4729389065897853e-288
269,4.6831244597061816e-290
270,1.4834577549907425e-291
271,4.6817599429022745e-293
272,1.4721209322823258e-294
273,4.611944718583627e-296
274,1.4395832451546246e-297
